id_car2,C,12;id_commune,C,10;id_ins_1,C,10;id_epci
00165-09271;00165;0000-0375;000000000
00165-09272;00165;0000-0376;000000000
00135-09273;00135;0000-0376;000000000
00135-09274;00135;0000-0376;000000000
00135-09275;00135;0000-0376;000000000
00135-09276;00135;0000-0376;000000000
00135-09277;00135;0000-0377;000000000
00135-09278;00135;0000-0377;000000000
00135-09279;00135;0000-0377;000000000
00135-09280;00135;0000-0377;000000000
00135-09281;00135;0000-0377;000000000
00135-09282;00135;0000-0378;000000000
00135-09283;00135;0000-0378;000000000
00135-09284;00135;0000-0378;000000000
00135-09285;00135;0000-0378;000000000
00135-09286;00135;0000-0378;000000000
00135-09287;00135;0000-0379;000000000
00135-09288;00135;0000-0379;000000000
00135-09289;00135;0000-0379;000000000
00135-09290;00135;0000-0379;000000000
00135-09291;00135;0000-0379;000000000
00135-09292;00135;0000-0380;000000000
00135-09293;00135;0000-0380;000000000
00135-09294;00135;0000-0380;000000000
00135-09295;00135;0000-0380;000000000
00135-09296;00135;0000-0380;000000000
00135-09297;00135;0000-0381;000000000
00135-09298;00135;0000-0381;000000000
00135-09299;00135;0000-0381;000000000
00135-09300;00135;0000-0381;000000000
00135-09301;00135;0000-0381;000000000
00135-09302;00135;0000-0382;000000000
00135-09303;00135;0000-0382;000000000
00135-09304;00135;0000-0382;000000000
00135-09305;00135;0000-0382;000000000
00135-09306;00135;0000-0382;000000000
00135-09307;00135;0000-0383;000000000
00135-09308;00135;0000-0383;000000000
00135-09309;00135;0000-0383;000000000
00135-09310;00135;0000-0383;000000000
00135-09311;00135;0000-0383;000000000
00296-01056;00296;0000-0042;000000000
00296-01057;00296;0000-0042;000000000
00296-01058;00296;0000-0042;000000000
00296-01059;00296;0000-0043;000000000
00296-01060;00296;0000-0043;000000000
00296-01061;00296;0000-0043;000000000
00284-09365;00284;0000-0370;000000000
00284-09366;00284;0000-0370;000000000
00284-09367;00284;0000-0370;000000000
00284-09368;00284;0000-0371;000000000
00284-09369;00284;0000-0371;000000000
00284-09370;00284;0000-0371;000000000
00284-09371;00284;0000-0371;000000000
00284-09372;00284;0000-0371;000000000
00284-09373;00284;0000-0372;000000000
00284-09374;00284;0000-0372;000000000
00284-09375;00284;0000-0372;000000000
00284-09376;00284;0000-0372;000000000
00284-09377;00284;0000-0372;000000000
00284-09378;00284;0000-0373;000000000
00284-09379;00284;0000-0373;000000000
00284-09380;00284;0000-0373;000000000
00165-09381;00165;0000-0373;000000000
00165-09382;00165;0000-0373;000000000
00165-09383;00165;0000-0374;000000000
00165-09384;00165;0000-0374;000000000
00165-09385;00165;0000-0374;000000000
00165-09386;00165;0000-0374;000000000
00165-09387;00165;0000-0374;000000000
00165-09388;00165;0000-0375;000000000
00165-09389;00165;0000-0375;000000000
00165-09390;00165;0000-0375;000000000
00165-09391;00165;0000-0375;000000000
00165-09392;00165;0000-0375;000000000
00135-09393;00135;0000-0376;000000000
00135-09394;00135;0000-0376;000000000
00135-09395;00135;0000-0376;000000000
00135-09396;00135;0000-0376;000000000
00135-09397;00135;0000-0376;000000000
00135-09398;00135;0000-0377;000000000
00135-09399;00135;0000-0377;000000000
00135-09400;00135;0000-0377;000000000
00135-09401;00135;0000-0377;000000000
00135-09402;00135;0000-0377;000000000
00135-09403;00135;0000-0378;000000000
00135-09404;00135;0000-0378;000000000
00135-09405;00135;0000-0378;000000000
00135-09406;00135;0000-0378;000000000
00135-09407;00135;0000-0378;000000000
00135-09408;00135;0000-0379;000000000
00135-09409;00135;0000-0379;000000000
00135-09410;00135;0000-0379;000000000
00135-09411;00135;0000-0379;000000000
00135-09412;00135;0000-0379;000000000
00135-09413;00135;0000-0380;000000000
00135-09414;00135;0000-0380;000000000
00135-09415;00135;0000-0380;000000000
00135-09416;00135;0000-0380;000000000
00135-09417;00135;0000-0380;000000000
00135-09418;00135;0000-0381;000000000
00135-09419;00135;0000-0381;000000000
00135-09420;00135;0000-0381;000000000
00135-09421;00135;0000-0381;000000000
00135-09422;00135;0000-0381;000000000
00135-09423;00135;0000-0382;000000000
